年份,城镇居民支出,城镇居民收入
"1 ""1991",1453.8,"1700.6"""
"2 ""1992",1671.7,"2026.6"""
"3 ""1993",2110.8,"2577.4"""
"4 ""1994",2851.3,"3496.2"""
"5 ""1995",3537.6,"4283"""
"6 ""1996",3919.5,"4838.9"""
"7 ""1997",4185.6,"5160.3"""
"8 ""1998",4331.6,"5425.1"""
"9 ""1999",4615.9,"5854"""
"10 ""2000",4998,"6255.7"""
"11 ""2001",5309,"6824"""
"12 ""2002",6029.9,"7652.4"""
"13 ""2003",6510.9,"8405.5"""
"14 ""2004",7182.1,"9334.8"""
"15 ""2005",7942.9,"10382.3"""
"16 ""2006",8696.6,"11619.7"""
"17 ""2007",9997.5,"13602.5"""
"18 ""2008",11242.9,"15549.4"""
"19 ""2009",12264.6,"16900.5"""
"20 ""2010",13471.5,"18779.1"""
"21 ""2011",15160.9,"21426.9"""
"22 ""2012",16674.3,"24126.7"""
"23 ""2013",18488,"26467"""
"24 ""2014",19968,"28844"""
"25 ""2015",21392,"31195"""
"26 ""2016",23079,"33616"""
"27 ""2017",24445,"36396"""
"28 ""2018",26112,"39251"""
